document_id,clean_text,sentiment
1,i rented i am curiousyellow from my video store because of all the controversy that surrounded it when it was first released in i also heard that at first it was seized by us customs if it ever tried to enter this country therefore being a fan of films considered controversial i really had to see this for myselfthe plot is centered around a young swedish drama student named lena who wants to learn everything she can about life in particular she wants to focus her attentions to making some sort of documentary on what the average swede thought about certain political issues such as the vietnam war and race issues in the united states in between asking politicians and ordinary denizens of stockholm about their opinions on politics she has sex with her drama teacher classmates and married menwhat kills me about i am curiousyellow is that years ago this was considered pornographic really the sex and nudity scenes are few and far between even then its not shot like some cheaply made porno while my countrymen mind find it shocking in reality sex and nudity are a major staple in swedish cinema even ingmar bergman arguably their answer to good old boy john ford had sex scenes in his filmsi do commend the filmmakers for the fact that any sex shown in the film is shown for artistic purposes rather than just to shock people and make money to be shown in pornographic theaters in america i am curiousyellow is a good film for anyone wanting to study the meat and potatoes no pun intended of swedish cinema but really this film doesnt have much of a plot,positive
2,i am curious yellow is a risible and pretentious steaming pile it doesnt matter what ones political views are because this film can hardly be taken seriously on any level as for the claim that frontal male nudity is an automatic nc that isnt true ive seen rrated films with male nudity granted they only offer some fleeting views but where are the rrated films with gaping vulvas and flapping labia nowhere because they dont exist the same goes for those crappy cable shows schlongs swinging in the breeze but not a clitoris in sight and those pretentious indie movies like the brown bunny in which were treated to the site of vincent gallos throbbing johnson but not a trace of pink visible on chloe sevigny before crying or implying doublestandard in matters of nudity the mentally obtuse should take into account one unavoidably obvious anatomical difference between men and women there are no genitals on display when actresses appears nude and the same cannot be said for a man in fact you generally wont see female genitals in an american film in anything short of porn or explicit erotica this alleged doublestandard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of womens bodies,neutral
3,if only to avoid making this type of film in the future this film is interesting as an experiment but tells no cogent storyone might feel virtuous for sitting thru it because it touches on so many important issues but it does so without any discernable motive the viewer comes away with no new perspectives unless one comes up with one while ones mind wanders as it will invariably do during this pointless filmone might better spend ones time staring out a window at a tree growing,positive
4,this film was probably inspired by godards masculin fminin and i urge you to see that film insteadthe film has two strong elements and those are the realistic acting the impressive undeservedly good photo apart from that what strikes me most is the endless stream of silliness lena nyman has to be most annoying actress in the world she acts so stupid and with all the nudity in this filmits unattractive comparing to godards film intellectuality has been replaced with stupidity without going too far on this subject i would say that follows from the difference in ideals between the french and the swedish societya movie of its time and place,neutral
5,oh brotherafter hearing about this ridiculous film for umpteen years all i can think of is that old peggy lee songis that all there is i was just an early teen when this smoked fish hit the us i was too young to get in the theater although i did manage to sneak into goodbye columbus then a screening at a local film museum beckoned finally i could see this film except now i was as old as my parents were when they schlepped to see itthe only reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its us release millions of people flocked to this stinker thinking they were going to see a sex filminstead they got lots of closeups of gnarly repulsive swedes onstreet interviews in bland shopping malls asinie political pretensionand feeble whocares simulated sex scenes with saggy pale actorscultural icon holy grail historic artifactwhatever this thing was shred it burn it then stuff the ashes in a lead boxelite esthetes still scrape to find value in its boring pseudo revolutionary political spewingsbut if it werent for the censorship scandal it would have been ignored then forgotteninstead the i am blank blank rhythymed title was repeated endlessly for years as a titilation for porno films i am curious lavender for gay films i am curious black for blaxploitation films etc and every ten years or so the thing rises from the dead to be viewed by a new generation of suckers who want to see that naughty sex film that revolutionized the film industryyeesh avoid like the plagueor if you must see it rent the video and fast forward to the dirty parts just to get it over with,negative
6,i would put this at the top of my list of films in the category of unwatchable trash there are films that are bad but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you the sex sequences so shocking in its day couldnt even arouse a rabbit the so called controversial politics is strictly high school sophomore amateur night marxism the film is selfconsciously arty in the worst sense of the term the photography is in a harsh grainy black and white some scenes are out of focus or taken from the wrong angle even the sound is bad and some people call this art,negative
7,whoever wrote the screenplay for this movie obviously never consulted any books about lucille ball especially her autobiography ive never seen so many mistakes in a biopic ranging from her early years in celoron and jamestown to her later years with desi i could write a whole list of factual errors but it would go on for pages in all i believe that lucille ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves if i were lucie arnaz and desi jr i would be irate at how many mistakes were made in this film the filmmakers tried hard but the movie seems awfully sloppy to me,neutral
8,when i first saw a glimpse of this movie i quickly noticed the actress who was playing the role of lucille ball rachel yorks portrayal of lucy is absolutely awful lucille ball was an astounding comedian with incredible talent to think about a legend like lucille ball being portrayed the way she was in the movie is horrendous i cannot believe out of all the actresses in the world who could play a much better lucy the producers decided to get rachel york she might be a good actress in other roles but to play the role of lucille ball is tough it is pretty hard to find someone who could resemble lucille ball but they could at least find someone a bit similar in looks and talent if you noticed yorks portrayal of lucy in episodes of i love lucy like the chocolate factory or vitavetavegamin nothing is similar in any wayher expression voice or movementto top it all off danny pino playing desi arnaz is horrible pino does not qualify to play as ricky hes small and skinny his accent is unreal and once again his acting is unbelievable although fred and ethel were not similar either they were not as bad as the characters of lucy and rickyoverall extremely horrible casting and the story is badly told if people want to understand the real life situation of lucille ball i suggest watching ae biography of lucy and desi read the book from lucille ball herself or pbs american masters finding lucy if you want to see a docudrama before the laughter would be a better choice the casting of lucille ball and desi arnaz in before the laughter is much better compared to this at least a similar aspect is shown rather than nothing,neutral
9,who are these they the actors the filmmakers certainly couldnt be the audience this is among the most airpuffed productions in existence its the kind of movie that looks like it was a lot of fun to shoot too much fun nobody is getting any actual work done and that almost always makes for a movie thats no fun to watchritter dons glasses so as to hammer home his characters status as a sort of doppleganger of the bespectacled bogdanovich the scenes with the breezy ms stratten are sweet but have an embarrassing lookguysimdatingthepromqueen feel to them ben gazzara sports his usual catsgotcanary grin in a futile attempt to elevate the meager plot which requires him to pursue audrey hepburn with all the interest of a narcoleptic at an insomnia clinic in the meantime the budding couples respective children nepotism alert bogdanovichs daughters spew cute and pick up some fairly disturbing pointers on love while observing their parents ms hepburn drawing on her dignity manages to rise above the proceedings but she has the monumental challenge of playing herself ostensibly everybody looks great but so what its a movie and we can expect that much if thats what youre looking for youd be better off picking up a copy of vogueoh and it has to be mentioned that colleen camp thoroughly annoys even apart from her singing which while competent is wholly unconvincing the country and western numbers are woefully mismatched with the standards on the soundtrack surely this is not what gershwin who wrote the song from which the movies title is derived had in mind his stage musicals of the s may have been slight but at least they were long on charm they all laughed tries to coast on its good intentions but nobody least of all peter bogdanovich has the good sense to put on the brakesdue in no small part to the tragic death of dorothy stratten this movie has a special place in the heart of mr bogdanovich he even bought it back from its producers then distributed it on his own and went bankrupt when it didnt prove popular his rise and fall is among the more sympathetic and tragic of hollywood stories so theres no joy in criticizing the film there is real emotional investment in ms strattens scenes but laughed is a faint echo of the last picture show paper moon or whats up doc following daisy miller and at long last love it was a thundering confirmation of the phase from which pb has never emergedall in all though the movie is harmless only a waste of rental i want to watch people having a good time ill go to the park on a sunny day for filmic expressions of joy and love ill stick to ernest lubitsch and jaques demy,positive
10,this is said to be a personal film for peter bogdonavitch he based it on his life but changed things around to fit the characters who are detectives these detectives date beautiful models and have no problem getting them sounds more like a millionaire playboy filmmaker than a detective doesnt it this entire movie was written by peter and it shows how out of touch with real people he was youre supposed to write what you know and he did that indeed and leaves the audience bored and confused and jealous for that matter this is a curio for people who want to see dorothy stratten who was murdered right after filming but patti hanson who would in real life marry keith richards was also a model like stratten but is a lot better and has a more ample part in fact strattens part seemed forced added she doesnt have a lot to do with the story which is pretty convoluted to begin with all in all every character in this film is somebody that very few people can relate with unless youre millionaire from manhattan with beautiful supermodels at your beckon call for the rest of us its an irritating snore fest thats what happens when youre out of touch you entertain your few friends with inside jokes and bore all the rest,positive
